project_index,group,project_root,filename,sheet_no,sheet_order,title,title_family,category,audit_role,route_target_scan,page_type_confidence_scan,valid_dwg_header,size_bytes,detected_from,in_prj,skip_reason,warnings
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,01 封面.dwg,01,1,封面,封面目录,封面/目录,skip,SkipExtractor,0.98,True,64091,prj,True,matched skip keyword: 封面,matched skip keyword: 封面
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,02 目录.dwg,02,2,目录,封面目录,封面/目录,skip,SkipExtractor,0.7,True,70947,prj,True,matched skip keyword: 封面,matched skip keyword: 封面
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,03 屏面布置图.dwg,03,3,屏面布置图,屏面布置,屏面布置图,skip,SkipExtractor,0.98,True,76556,prj,True,matched skip keyword: 屏面布置,matched skip keyword: 屏面布置
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,04 标牌及压板内容示意图.dwg,04,4,标牌及压板内容示意图,标牌压板,屏面布置图,skip,SkipExtractor,0.7,True,62756,prj,True,matched skip keyword: 屏面布置,matched skip keyword: 屏面布置
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,04 交流回路图1.dwg,04,5,交流回路图1,交流电源,二次原理图,primary,WireDiagramExtractor,0.9,True,74099,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,05 交流回路图2.dwg,05,6,交流回路图2,交流电源,二次原理图,primary,WireDiagramExtractor,0.9,True,109800,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,06 直流回路图.dwg,06,7,直流回路图,直流电源,二次原理图,primary,WireDiagramExtractor,0.9,True,92123,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,07 网络通讯回路图.dwg,07,8,网络通讯回路图,网络通信,二次原理图,primary,WireDiagramExtractor,0.9,True,68171,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,08 差动保护及信号回路.dwg,08,9,差动保护及信号回路,保护信号,二次原理图,primary,WireDiagramExtractor,0.9,True,74706,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,09 高后备保护及信号回路.dwg,09,10,高后备保护及信号回路,保护信号,二次原理图,primary,WireDiagramExtractor,0.9,True,80731,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,10 低后备保护及信号回路.dwg,10,11,低后备保护及信号回路,保护信号,二次原理图,primary,WireDiagramExtractor,0.9,True,88294,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,11 非电量开入回路.dwg,11,12,非电量开入回路,开入,二次原理图,primary,WireDiagramExtractor,0.9,True,102108,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,12 非电量信号回路.dwg,12,13,非电量信号回路,保护信号,二次原理图,primary,WireDiagramExtractor,0.9,True,105499,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,13 出口回路图.dwg,13,14,出口回路图,控制操作,二次原理图,primary,WireDiagramExtractor,0.9,True,100921,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,14 高操作回路图.dwg,14,15,高操作回路图,控制操作,二次原理图,primary,WireDiagramExtractor,0.9,True,98492,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,15 低操作回路图.dwg,15,16,低操作回路图,控制操作,二次原理图,primary,WireDiagramExtractor,0.9,True,98010,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,16 高低压侧操作箱信号回路.dwg,16,17,高低压侧操作箱信号回路,保护信号,二次原理图,primary,WireDiagramExtractor,0.9,True,100249,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,17 差动保护背板图.dwg,17,18,差动保护背板图,保护信号,背板接线图,secondary,LayoutOnlyExtractor,0.98,True,122447,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,18 高后备保护背板图.dwg,18,19,高后备保护背板图,保护信号,背板接线图,secondary,LayoutOnlyExtractor,0.98,True,131990,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,19 低后备保护背板图.dwg,19,20,低后备保护背板图,保护信号,背板接线图,secondary,LayoutOnlyExtractor,0.98,True,133142,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,20 非电量保护背板图.dwg,20,21,非电量保护背板图,保护信号,背板接线图,secondary,LayoutOnlyExtractor,0.98,True,158414,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,21 元件接线图1.dwg,21,22,元件接线图1,元件接线,元件接线图,supplemental,ComponentDiagramExtractor,0.98,True,95921,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,22 元件接线图2.dwg,22,23,元件接线图2,元件接线,元件接线图,supplemental,ComponentDiagramExtractor,0.98,True,89554,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,23 元件接线图3.dwg,23,24,元件接线图3,元件接线,元件接线图,supplemental,ComponentDiagramExtractor,0.98,True,81424,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,24 左侧端子图1.dwg,24,25,左侧端子图1,端子图,屏端子图,supplemental,TerminalDiagramExtractor,0.7,True,118449,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,25 左侧端子图2.dwg,25,26,左侧端子图2,端子图,屏端子图,supplemental,TerminalDiagramExtractor,0.7,True,56390,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,26 右侧端子图1.dwg,26,27,右侧端子图1,端子图,屏端子图,supplemental,TerminalDiagramExtractor,0.7,True,114793,prj,True,,
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,27 右侧端子图2.dwg,27,28,右侧端子图2,端子图,屏端子图,supplemental,TerminalDiagramExtractor,0.7,True,76965,prj,True,,
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,01 封面.dwg,01,1,封面,封面目录,封面/目录,skip,SkipExtractor,0.98,True,52544,prj,True,matched skip keyword: 封面,matched skip keyword: 封面
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,02 目录.dwg,02,2,目录,封面目录,封面/目录,skip,SkipExtractor,0.7,True,52642,prj,True,matched skip keyword: 封面,matched skip keyword: 封面
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,03 屏面布置图.dwg,03,3,屏面布置图,屏面布置,屏面布置图,skip,SkipExtractor,0.98,True,75208,prj,True,matched skip keyword: 屏面布置,matched skip keyword: 屏面布置
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,04 交直流回路图.dwg,04,4,交直流回路图,交流电源,二次原理图,primary,WireDiagramExtractor,0.9,True,102139,prj,True,,
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,05 信号回路图.dwg,05,5,信号回路图,保护信号,二次原理图,primary,WireDiagramExtractor,0.9,True,66696,prj,True,,
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,06 远动接口联系回路图.dwg,06,6,远动接口联系回路图,网络通信,二次原理图,primary,WireDiagramExtractor,0.9,True,79760,prj,True,,
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,07 交换机回路图.dwg,07,7,交换机回路图,网络通信,二次原理图,primary,WireDiagramExtractor,0.9,True,73822,prj,True,,
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,08 元件接线图1.dwg,08,8,元件接线图1,元件接线,元件接线图,supplemental,ComponentDiagramExtractor,0.98,True,72455,prj,True,,
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,09 元件接线图2.dwg,09,9,元件接线图2,元件接线,元件接线图,supplemental,ComponentDiagramExtractor,0.98,True,75045,prj,True,,
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,10 元件接线图3.dwg,10,10,元件接线图3,元件接线,元件接线图,supplemental,ComponentDiagramExtractor,0.98,True,69128,prj,True,,
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,11 元件接线图4.dwg,11,11,元件接线图4,元件接线,元件接线图,supplemental,ComponentDiagramExtractor,0.98,True,63394,prj,True,,
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,12 左侧端子图.dwg,12,12,左侧端子图,端子图,屏端子图,supplemental,TerminalDiagramExtractor,0.7,True,91575,prj,True,,
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,01 封面.dwg,01,1,封面,封面目录,封面/目录,skip,SkipExtractor,0.98,True,56842,prj,True,matched skip keyword: 封面,matched skip keyword: 封面
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,02 目录.dwg,02,2,目录,封面目录,封面/目录,skip,SkipExtractor,0.7,True,51680,prj,True,matched skip keyword: 封面,matched skip keyword: 封面
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,03 屏面布置图.dwg,03,3,屏面布置图,屏面布置,屏面布置图,skip,SkipExtractor,0.98,True,79982,prj,True,matched skip keyword: 屏面布置,matched skip keyword: 屏面布置
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,04 交直流电源回路图.dwg,04,4,交直流电源回路图,交流电源,二次原理图,primary,WireDiagramExtractor,0.9,True,103504,prj,True,,
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,05 信号回路图.dwg,05,5,信号回路图,保护信号,二次原理图,primary,WireDiagramExtractor,0.9,True,85295,prj,True,,
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,06 交换机回路图1.dwg,06,6,交换机回路图1,网络通信,二次原理图,primary,WireDiagramExtractor,0.9,True,73177,prj,True,,
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,07 交换机回路图2.dwg,07,7,交换机回路图2,网络通信,二次原理图,primary,WireDiagramExtractor,0.9,True,71895,prj,True,,
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,08 通信管理机回路图.dwg,08,8,通信管理机回路图,网络通信,二次原理图,primary,WireDiagramExtractor,0.9,True,109712,prj,True,,
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,09 交换机接线图1.dwg,09,9,交换机接线图1,网络通信,背板接线图,secondary,LayoutOnlyExtractor,0.7,True,201375,prj,True,,
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,10 交换机接线图2.dwg,10,10,交换机接线图2,网络通信,背板接线图,secondary,LayoutOnlyExtractor,0.7,True,201345,prj,True,,
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,11 通信管理机接线图.dwg,11,11,通信管理机接线图,网络通信,背板接线图,secondary,LayoutOnlyExtractor,0.7,True,221227,prj,True,,
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,12 元件接线图.dwg,12,12,元件接线图,元件接线,元件接线图,supplemental,ComponentDiagramExtractor,0.98,True,154301,prj,True,,
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,13 左侧端子图1.dwg,13,13,左侧端子图1,端子图,屏端子图,supplemental,TerminalDiagramExtractor,0.7,True,112388,prj,True,,
4,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/12000 主变及35kV网络通信柜,01 封面.dwg,01,1,封面,封面目录,封面/目录,skip,SkipExtractor,0.98,True,56808,prj,True,matched skip keyword: 封面,matched skip keyword: 封面
4,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/12000 主变及35kV网络通信柜,02 目录.dwg,02,2,目录,封面目录,封面/目录,skip,SkipExtractor,0.7,True,51778,prj,True,matched skip keyword: 封面,matched skip keyword: 封面
