bpp,group,height,id,offset,path,png,relative_path,status,width
8,first,120,1,567,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/01 封面.dwg,/mnt/data/xj_review_tmp/previews/0001.png,110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/01 封面.dwg,ok,256
8,first,120,2,567,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/02 目录.dwg,/mnt/data/xj_review_tmp/previews/0002.png,110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/02 目录.dwg,ok,256
8,first,90,3,567,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/03 屏面布置图.dwg,/mnt/data/xj_review_tmp/previews/0003.png,110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/03 屏面布置图.dwg,ok,180
8,first,90,4,567,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/04 交流回路图1.dwg,/mnt/data/xj_review_tmp/previews/0004.png,110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/04 交流回路图1.dwg,ok,180
8,first,90,5,567,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/04 标牌及压板内容示意图.dwg,/mnt/data/xj_review_tmp/previews/0005.png,110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/04 标牌及压板内容示意图.dwg,ok,180
8,first,90,6,567,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/05 交流回路图2.dwg,/mnt/data/xj_review_tmp/previews/0006.png,110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/05 交流回路图2.dwg,ok,180
8,first,91,7,567,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/06 直流回路图.dwg,/mnt/data/xj_review_tmp/previews/0007.png,110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/06 直流回路图.dwg,ok,180
8,first,91,8,567,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/07 网络通讯回路图.dwg,/mnt/data/xj_review_tmp/previews/0008.png,110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/07 网络通讯回路图.dwg,ok,180
8,first,90,9,567,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/08 差动保护及信号回路.dwg,/mnt/data/xj_review_tmp/previews/0009.png,110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/08 差动保护及信号回路.dwg,ok,180
8,first,95,10,567,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/09 高后备保护及信号回路.dwg,/mnt/data/xj_review_tmp/previews/0010.png,110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/09 高后备保护及信号回路.dwg,ok,180
