project_index,group,project_root,project_name,device_name,dwg_count,valid_dwg_count,invalid_dwg_count,prj_present,prj_entries,prj_encoding,terminal_xml_present,terminal_strip_count,duplicate_sheet_nos,category_counts,role_counts,route_counts,title_family_counts,manifest_warnings,prj_warnings
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA.prj,28,28,0,True,28,gb18030,True,27,04,"{""二次原理图"": 13, ""元件接线图"": 3, ""封面/目录"": 2, ""屏端子图"": 4, ""屏面布置图"": 2, ""背板接线图"": 4}","{""primary"": 13, ""secondary"": 4, ""skip"": 4, ""supplemental"": 7}","{""ComponentDiagramExtractor"": 3, ""LayoutOnlyExtractor"": 4, ""SkipExtractor"": 4, ""TerminalDiagramExtractor"": 4, ""WireDiagramExtractor"": 13}","{""交流电源"": 2, ""保护信号"": 9, ""元件接线"": 3, ""封面目录"": 2, ""屏面布置"": 1, ""开入"": 1, ""控制操作"": 3, ""标牌压板"": 1, ""直流电源"": 1, ""端子图"": 4, ""网络通信"": 1}",Duplicate sheet numbers detected; use sheet_order as the primary stable order.,
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,10000 远动通信柜,10000 远动通信柜.prj,12,12,0,True,12,gb18030,True,6,,"{""二次原理图"": 4, ""元件接线图"": 4, ""封面/目录"": 2, ""屏端子图"": 1, ""屏面布置图"": 1}","{""primary"": 4, ""skip"": 3, ""supplemental"": 5}","{""ComponentDiagramExtractor"": 4, ""SkipExtractor"": 3, ""TerminalDiagramExtractor"": 1, ""WireDiagramExtractor"": 4}","{""交流电源"": 1, ""保护信号"": 1, ""元件接线"": 4, ""封面目录"": 2, ""屏面布置"": 1, ""端子图"": 1, ""网络通信"": 2}",,
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,11000 站控层网络通信柜,11000 站控层网络通信柜.prj,13,13,0,True,13,gb18030,True,6,,"{""二次原理图"": 5, ""元件接线图"": 1, ""封面/目录"": 2, ""屏端子图"": 1, ""屏面布置图"": 1, ""背板接线图"": 3}","{""primary"": 5, ""secondary"": 3, ""skip"": 3, ""supplemental"": 2}","{""ComponentDiagramExtractor"": 1, ""LayoutOnlyExtractor"": 3, ""SkipExtractor"": 3, ""TerminalDiagramExtractor"": 1, ""WireDiagramExtractor"": 5}","{""交流电源"": 1, ""保护信号"": 1, ""元件接线"": 1, ""封面目录"": 2, ""屏面布置"": 1, ""端子图"": 1, ""网络通信"": 6}",,
4,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/12000 主变及35kV网络通信柜,12000 主变及35kV网络通信柜,12000 主变及35kV网络通信柜.prj,11,11,0,True,11,gb18030,True,4,,"{""二次原理图"": 4, ""元件接线图"": 1, ""封面/目录"": 2, ""屏端子图"": 1, ""屏面布置图"": 1, ""背板接线图"": 2}","{""primary"": 4, ""secondary"": 2, ""skip"": 3, ""supplemental"": 2}","{""ComponentDiagramExtractor"": 1, ""LayoutOnlyExtractor"": 2, ""SkipExtractor"": 3, ""TerminalDiagramExtractor"": 1, ""WireDiagramExtractor"": 4}","{""交流电源"": 1, ""保护信号"": 1, ""元件接线"": 1, ""封面目录"": 2, ""屏面布置"": 1, ""端子图"": 1, ""网络通信"": 4}",,
5,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/13000 光伏区网络通信A柜,13000 光伏区网络通信A柜,13000 光伏区网络通信A柜.prj,6,6,0,True,6,gb18030,True,2,,"{""二次原理图"": 1, ""元件接线图"": 1, ""封面/目录"": 2, ""屏端子图"": 1, ""屏面布置图"": 1}","{""primary"": 1, ""skip"": 3, ""supplemental"": 2}","{""ComponentDiagramExtractor"": 1, ""SkipExtractor"": 3, ""TerminalDiagramExtractor"": 1, ""WireDiagramExtractor"": 1}","{""交流电源"": 1, ""元件接线"": 1, ""封面目录"": 2, ""屏面布置"": 1, ""端子图"": 1}",,
6,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/14000 光伏区网络通信B柜,14000 光伏区网络通信B柜,14000 光伏区网络通信B柜.prj,14,14,0,True,14,gb18030,True,5,,"{""二次原理图"": 6, ""元件接线图"": 1, ""封面/目录"": 2, ""屏端子图"": 1, ""屏面布置图"": 1, ""背板接线图"": 3}","{""primary"": 6, ""secondary"": 3, ""skip"": 3, ""supplemental"": 2}","{""ComponentDiagramExtractor"": 1, ""LayoutOnlyExtractor"": 3, ""SkipExtractor"": 3, ""TerminalDiagramExtractor"": 1, ""WireDiagramExtractor"": 6}","{""交流电源"": 1, ""保护信号"": 1, ""元件接线"": 1, ""封面目录"": 2, ""屏面布置"": 1, ""直流电源"": 1, ""端子图"": 1, ""网络通信"": 6}",,
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,15000 220kV公用测控柜,15000 220kV公用测控柜.prj,22,22,0,True,22,gb18030,True,15,,"{""二次原理图"": 10, ""元件接线图"": 2, ""封面/目录"": 2, ""屏端子图"": 4, ""屏面布置图"": 1, ""背板接线图"": 3}","{""primary"": 10, ""secondary"": 3, ""skip"": 3, ""supplemental"": 6}","{""ComponentDiagramExtractor"": 2, ""LayoutOnlyExtractor"": 3, ""SkipExtractor"": 3, ""TerminalDiagramExtractor"": 4, ""WireDiagramExtractor"": 10}","{""交流电源"": 1, ""元件接线"": 2, ""封面目录"": 2, ""屏面布置"": 1, ""开入"": 4, ""控制操作"": 2, ""直流电源"": 1, ""端子图"": 4, ""网络通信"": 3, ""背板"": 2}",,
8,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/16000 220kV电压并列柜,16000 220kV电压并列柜,16000 220kV电压并列柜.prj,12,12,0,True,12,gb18030,True,8,,"{""二次原理图"": 5, ""元件接线图"": 1, ""封面/目录"": 2, ""屏端子图"": 2, ""屏面布置图"": 1, ""背板接线图"": 1}","{""primary"": 5, ""secondary"": 1, ""skip"": 3, ""supplemental"": 3}","{""ComponentDiagramExtractor"": 1, ""LayoutOnlyExtractor"": 1, ""SkipExtractor"": 3, ""TerminalDiagramExtractor"": 2, ""WireDiagramExtractor"": 5}","{""交流电源"": 1, ""保护信号"": 1, ""元件接线"": 1, ""封面目录"": 2, ""屏面布置"": 1, ""开入"": 1, ""控制操作"": 2, ""端子图"": 2, ""背板"": 1}",,
9,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/17000 公用测控柜,17000 公用测控柜,17000 公用测控柜.prj,21,21,0,True,21,gb18030,True,18,,"{""二次原理图"": 10, ""元件接线图"": 2, ""封面/目录"": 2, ""屏端子图"": 4, ""屏面布置图"": 1, ""背板接线图"": 2}","{""primary"": 10, ""secondary"": 2, ""skip"": 3, ""supplemental"": 6}","{""ComponentDiagramExtractor"": 2, ""LayoutOnlyExtractor"": 2, ""SkipExtractor"": 3, ""TerminalDiagramExtractor"": 4, ""WireDiagramExtractor"": 10}","{""交流电源"": 2, ""元件接线"": 2, ""封面目录"": 2, ""屏面布置"": 1, ""开入"": 4, ""控制操作"": 2, ""直流电源"": 1, ""端子图"": 4, ""网络通信"": 1, ""背板"": 2}",,
10,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/18000 220kV线路测控柜,18000 220kV线路测控柜,18000 220kV线路测控柜.prj,20,20,0,True,20,gb18030,True,18,,"{""二次原理图"": 9, ""元件接线图"": 2, ""封面/目录"": 2, ""屏端子图"": 4, ""屏面布置图"": 1, ""背板接线图"": 2}","{""primary"": 9, ""secondary"": 2, ""skip"": 3, ""supplemental"": 6}","{""ComponentDiagramExtractor"": 2, ""LayoutOnlyExtractor"": 2, ""SkipExtractor"": 3, ""TerminalDiagramExtractor"": 4, ""WireDiagramExtractor"": 9}","{""交流电源"": 1, ""元件接线"": 2, ""封面目录"": 2, ""屏面布置"": 1, ""开入"": 4, ""控制操作"": 2, ""直流电源"": 1, ""端子图"": 4, ""网络通信"": 1, ""背板"": 2}",,
