tag,preview_id,relative_path,file
legacy_wire,15,110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/14 高操作回路图.dwg,legacy_wire_0015.png
legacy_terminal,25,110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA/24 左侧端子图1.dwg,legacy_terminal_0025.png
switch_loop,35,【出原理图】N2604HBJ20732J合同/10000 远动通信柜/07 交换机回路图.dwg,switch_loop_0035.png
communication_manager,48,【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜/08 通信管理机回路图.dwg,communication_manager_0048.png
pmu_backplate,237,【出原理图】N2604HBJ20732J合同/22000 1#同步相量测量柜/13 PMU采集器背板接线图1.dwg,pmu_backplate_0237.png
operation_box,262,【出原理图】N2604HBJ20732J合同/23000 主变保护A柜/19 高压侧操作箱原理图1.dwg,operation_box_0262.png
meter_wiring,382,【出原理图】N2604HBJ20732J合同/29000 电度表柜/11 电度表接线图1.dwg,meter_wiring_0382.png
firewall,397,【出原理图】N2604HBJ20732J合同/30000 保护信息子站柜/10 防火墙接线图.dwg,firewall_0397.png
terminal_table,339,【出原理图】N2604HBJ20732J合同/26000 220kV母联保护柜/17 左侧端子表1.dwg,terminal_table_0339.png
protection_backplate,266,【出原理图】N2604HBJ20732J合同/23000 主变保护A柜/23 主保护箱背面接线图.dwg,protection_backplate_0266.png
clock,465,【出原理图】N2604HBJ20732J合同/8000~9000 主-扩展时钟同步柜/06 时钟对时回路图1.dwg,clock_0465.png
component,36,【出原理图】N2604HBJ20732J合同/10000 远动通信柜/08 元件接线图1.dwg,component_0036.png
